marca,modello,versione,passo,shock_abs_tallone,shock_abs_mesopiede,energy_ret_tallone,energy_ret_mesopiede,rigidezza_flex,peso,altezza_tallone,altezza_mesopiede,drop,morbidezza_intersuola,morbidezza_intersuola_2,rocker,piastra,larghezza_mesopiede,larghezza_dita,altezza_dita,test_trazione,traspirab,rigidezza_torsionale,rigidezza_tallone,larghezza_suola_mesop,larghezza_suola_tallone,resistenza_tomaia,resistenza_tendach,resistenza_suola,spessore_suola,spessore_soletta,soletta_rimovibile,variazrigidezza_temp,elementi_catarinfr,spessore_linguetta,tipo_linguetta, prezzo ,anello_tallone
saucony,Endorph Elite,2.0,race,157,123,0.81,0.82,17.5,197,39.9,32.4,7.5,6.5,4.0,5x8,carbonio,95.6,71.0,29.5,0.48,5.0,4.0,1.0,,,5.0,4.0,0.5,,,y,0.27,n,,calzino,300.0,y/n
saucony,Endorph Speed,5.0,tempo,132,108,0.73,0.78,12.9,241,37.4,26.8,10.6,18.5,,5x8,nylon,93.8,72.9,29.3,0.52,5.0,4.0,4.0,118.1,95.0,2.0,5.0,1.0,2.5,4.7,y,0.31,y,5.7,semi integr,200.0,y/n
saucony,Endorph Pro,4.0,race,139,103,0.72,0.72,25.7,220,38.1,28.6,9.5,22.0,18.5,5x8,carbonio,96.5,72.5,27.7,0.52,5.0,4.0,1.0,118.9,89.2,4.0,5.0,0.6,2.1,6.1,y,0.05,n,1.7,calzino,250.0,n
saucony,Endorph Trainer,,tempo,138,112,0.69,0.76,25.6,285,38.9,32.0,6.9,5.9,37.8,"4,5x8",#N/D,92.3,70.1,28.9,0.46,5.0,5.0,2.0,121.7,100.1,3.0,3.0,0.7,3.1,7.2,y,0.03,y,6.5,semi integr,220.0,n
saucony,Ride,18.0,daily tr,141,116,0.6,0.65,11.0,255,35.0,26.6,8.4,26.1,,"4,5x9",#N/D,94.4,73.0,32.0,0.49,5.0,2.0,2.0,122.1,91.9,2.0,5.0,0.7,3.4,7.0,y,0.2,y,8.5,semi integr,150.0,n
saucony,Kinvara,15.0,tempo,117,107,0.57,0.61,9.1,194,27.9,23.5,4.4,23.8,,4x8,#N/D,96.2,71.2,31.4,0.41,5.0,2.0,,,,,,,,,,,,,,,
saucony,Triumph,23.0,daily tr,149,136,0.68,0.71,17.5,272,42.3,32.3,10.0,25.5,,"4,5x8",#N/D,93.8,71.4,26.8,0.62,3.0,3.0,5.0,124.0,98.9,3.0,4.0,0.7,3.3,6.3,y,0.08,y,8.8,integrale,190.0,n
saucony,Guide,18.0,daily tr,124,119,0.61,0.62,13.2,278,36.0,27.7,8.3,23.0,,4x8,#N/D,96.3,73.6,34.3,0.51,5.0,,,,,,,,,,,,,,,150.0,
saucony,Kinvara pro,,daily tr,127,115,0.66,0.7,26.4,281,45.6,35.3,10.3,24.1,29.5,"5x8,5",carbonio,93.5,69.3,28.0,0.51,2.0,5.0,3.0,119.5,99.5,4.0,5.0,0.4,1.0,7.0,y,0.11,y,5.2,semi integr,220.0,y
brooks,Hyperion max,3.0,tempo,151,133,0.64,0.66,17.0,283,45.6,35.0,10.6,12.1,22.9,"5,5x8",nylon,94.9,72.6,25.0,0.51,4.0,5.0,3.0,115.4,87.0,4.0,3.0,0.9,2.8,2.8,y,0.17,y,1.8,semi integr,190.0,y
